,Timewindow,Sentiment,Volume,TweetIds
0,22-September-2022 0:00:00-0:29:59,0.42356666666666665,3,"1572740254200578048,1572738431637426177,1572737439378046977"
1,22-September-2022 0:30:00-0:59:59,0.8309,1,1572749036180090881
2,22-September-2022 1:00:00-1:29:59,0.19767777777777779,9,"1572760030771920896,1572758111240458240,1572757428772687872,1572756819797504002,1572756085898940416,1572755747871821824,1572755561833275392,1572754771735371776,1572752539140997122"
3,22-September-2022 1:30:00-1:59:59,-0.05084000000000001,5,"1572765877409566720,1572764170613043205,1572762708935864323,1572762234895609858,1572760220627238912"
4,22-September-2022 2:00:00-2:29:59,0.1183,5,"1572774451779096576,1572773474103623680,1572773201456791552,1572770243289976833,1572768685449940992"
5,22-September-2022 2:30:00-2:59:59,-0.02422857142857141,7,"1572781501946925058,1572781124128247809,1572780256620347392,1572780061954310147,1572778592442122240,1572777711042543616,1572776705953263617"
6,22-September-2022 3:00:00-3:29:59,-0.06108333333333333,6,"1572788529029062658,1572787303155748864,1572786427737374721,1572785794468777985,1572783251718111232,1572782767393239040"
7,22-September-2022 3:30:00-3:59:59,0.5719,1,1572796997974761473
8,22-September-2022 4:00:00-4:29:59,0.3454,2,"1572803384138399745,1572797852782596097"
9,22-September-2022 4:30:00-4:59:59,0.1248,4,"1572812360779452417,1572812083905073154,1572807689897644032,1572806477764763649"
10,22-September-2022 5:00:00-5:29:59,-0.17,2,"1572820354443399169,1572818175192080385"
11,22-September-2022 5:30:00-5:59:59,0.1139,1,1572825097962147840
12,22-September-2022 6:00:00-6:29:59,-0.1959,4,"1572835087535702016,1572830515563937792,1572830304976474112,1572828053499248640"
13,22-September-2022 6:30:00-6:59:59,0.21068749999999997,8,"1572842674717364225,1572841880815079426,1572841852138442752,1572839397598568448,1572839271039643651,1572838570733314048,1572837056006754304,1572835722490703873"
14,22-September-2022 7:00:00-7:29:59,-0.07665,6,"1572850577402658816,1572849130380333057,1572848253795721216,1572846675441360897,1572846658265976832,1572845959809318913"
15,22-September-2022 7:30:00-7:59:59,0.22479999999999997,12,"1572857906135007232,1572857666183090176,1572857211424067588,1572855704775696384,1572855632897638400,1572854410694230016,1572852931086675968,1572852739880747008,1572852361688715265,1572852083572805632,1572851428796035073,1572851322533322754"
16,22-September-2022 8:00:00-8:29:59,-0.17157499999999998,8,"1572865075232538624,1572864984585220096,1572864542299652096,1572864331133616128,1572862353854631936,1572862147398627330,1572859511169335297,1572858921533919232"
17,22-September-2022 8:30:00-8:59:59,-0.076475,4,"1572869712807350274,1572869336552935425,1572866490520735748,1572865855511490561"
18,22-September-2022 9:00:00-9:29:59,0.25244285714285714,7,"1572879059474063369,1572878684524003343,1572878222387445761,1572875295816060935,1572875190392197122,1572873734666719233,1572873505514950656"
19,22-September-2022 9:30:00-9:59:59,-0.06895000000000001,2,"1572887517749207040,1572885376381091841"
20,22-September-2022 10:00:00-10:29:59,0.11875714285714288,7,"1572893882270064640,1572892524988858368,1572891675080691713,1572889836977102850,1572889559599558656,1572889149438365696,1572888572075843585"
21,22-September-2022 10:30:00-10:59:59,0.167925,4,"1572900447526203392,1572900430774161408,1572900075243974657,1572898580771524608"
22,22-September-2022 11:00:00-11:29:59,0.029349999999999987,4,"1572910503260987395,1572909833145425925,1572905257428197376,1572903665144397825"
23,22-September-2022 11:30:00-11:59:59,-0.03018333333333333,6,"1572916381359677440,1572915934238756864,1572912564199395329,1572912271361445890,1572911362103451649,1572911215432679426"
24,22-September-2022 12:00:00-12:29:59,0.33505,12,"1572925798604242945,1572925791234838533,1572925619897503745,1572925258176290816,1572924980295503872,1572924144106508288,1572920225766723584,1572920089707712513,1572919937085370368,1572919557810946053,1572918766631260161,1572918644232769536"
25,22-September-2022 12:30:00-12:59:59,0.29588461538461536,13,"1572933672046456832,1572933621547118593,1572933288515117056,1572933090372366336,1572932589740240904,1572931368241225729,1572931310557237249,1572930763800068096,1572928089348259840,1572927879364632578,1572927698363875329,1572927458453880837,1572926781379977220"
26,22-September-2022 13:00:00-13:29:59,0.3848937500000001,16,"1572940797204647938,1572940555331506178,1572940075775787010,1572939785789837312,1572939630328045569,1572939230027857924,1572938259197566976,1572938195884539904,1572937507565703168,1572936282405322755,1572936237266210816,1572936178554359813,1572935968768000001,1572934579274809345,1572933739629322240,1572933732809560067"
27,22-September-2022 13:30:00-13:59:59,0.26589090909090907,11,"1572946476707491841,1572945663217778688,1572945420338307072,1572945354500476928,1572944936449998849,1572943225786171394,1572942923637063681,1572941918971088899,1572941855112953856,1572941725395718144,1572941540632436737"
28,22-September-2022 14:00:00-14:29:59,0.3413,9,"1572955903548325890,1572954883061587969,1572954522745556992,1572953213229318147,1572952700458864642,1572951259753353217,1572950848258572290,1572949253999456257,1572948832425578496"
29,22-September-2022 14:30:00-14:59:59,0.15177777777777776,9,"1572963678445510665,1572961827918577664,1572961515225124866,1572961256788881410,1572959654430261249,1572958172008091659,1572958023424917505,1572957016200736768,1572956382571073536"
30,22-September-2022 15:00:00-15:29:59,0.43533333333333335,6,"1572970661882089477,1572967974251773952,1572964200615641091,1572964088120233984,1572964086090006530,1572963931903201282"
31,22-September-2022 15:30:00-15:59:59,0.16798888888888888,9,"1572977973078249472,1572977398936907776,1572977386391588866,1572975354498908166,1572973732397985792,1572973661006725122,1572972574258372608,1572972417605148673,1572971939936739331"
32,22-September-2022 16:00:00-16:29:59,0.34052857142857146,7,"1572985773250564096,1572985397285507072,1572985177495965698,1572984265922461698,1572982079775703046,1572979718328127488,1572979031590453248"
33,22-September-2022 16:30:00-16:59:59,0.22432727272727274,11,"1572993284376768512,1572993210515091457,1572993035948150784,1572991235631222784,1572990858932408320,1572990689469759489,1572989872327262208,1572988576844898310,1572987892456370177,1572987692807520257,1572986581769756672"
34,22-September-2022 17:00:00-17:29:59,0.32889230769230776,13,"1573001451424841729,1573000887802695680,1572998254924546053,1572997210870288384,1572997025809006593,1572995208828096512,1572995048861732864,1572994424413786112,1572994422471524353,1572994418344329217,1572994416960491522,1572994144997449730,1572994130724126720"
35,22-September-2022 17:30:00-17:59:59,0.39071,10,"1573007859851337728,1573007655639318528,1573007323425296384,1573007184480575488,1573006981484675074,1573006417052962818,1573005828092731392,1573004867861622785,1573004149137997825,1573002593546158081"
36,22-September-2022 18:00:00-18:29:59,0.12101818181818182,11,"1573016761489727488,1573015798326730752,1573015446986846208,1573015225103794176,1573014967502217216,1573014697183510534,1573012863827857409,1573012105963646976,1573010868144570368,1573009812723732480,1573009703944462337"
37,22-September-2022 18:30:00-18:59:59,0.1333588235294118,17,"1573023926162432000,1573023815135002625,1573023411877875712,1573023136018493441,1573023016174469121,1573021876326371328,1573021787679752192,1573021696315240448,1573021569320112128,1573021335814799360,1573020915113562112,1573020893860839425,1573020636758552576,1573019670197698560,1573018292314599424,1573017542339297282,1573016779793657856"
38,22-September-2022 19:00:00-19:29:59,0.13657000000000002,10,"1573031381172891650,1573030899658145793,1573030876304252930,1573029289582362631,1573028057711267840,1573027353055612928,1573026984988319745,1573026862678233088,1573026814905024512,1573026776652996609"
39,22-September-2022 19:30:00-19:59:59,0.34050909090909093,11,"1573038986507210752,1573038148682121217,1573036690767507456,1573036143259664385,1573036011122470912,1573035883342999554,1573035574776430592,1573033255959494656,1573032378385240065,1573032334236200961,1573032012864458752"
40,22-September-2022 20:00:00-20:29:59,0.14980000000000002,10,"1573046946268254208,1573046497649762305,1573046147010142211,1573045848572940289,1573045240256151552,1573044993614581760,1573044432257298432,1573042111787991040,1573041750788411392,1573040460448366592"
41,22-September-2022 20:30:00-20:59:59,-0.05681249999999999,8,"1573053812470054912,1573053427441369088,1573052911138897920,1573052368350056449,1573050030948339712,1573049969656872960,1573048798854668288,1573047803240419328"
42,22-September-2022 21:00:00-21:29:59,0.18986,5,"1573062070060613633,1573058656249282564,1573056095752540162,1573055288004976642,1573054678480441347"
43,22-September-2022 21:30:00-21:59:59,-0.14708333333333334,6,"1573067816907214849,1573065601651810310,1573064481986715650,1573064465528004611,1573064158534406145,1573063594329214977"
